2,0.035143
8,0.045143
10,0.968286
11,0.050571
15,0.335143
17,0.040000
19,0.865000
21,0.365429
24,0.144857
25,0.943714
27,0.043286
29,0.472286
33,0.679286
34,0.122571
36,0.029857
37,0.104000
38,0.705000
40,0.695714
41,0.092000
42,0.083571
43,0.091571
44,0.208143
47,0.435714
52,0.115571
56,0.042286
57,0.853857
59,0.418286
61,0.023286
62,0.206143
63,0.930571
64,0.028000
66,0.025714
72,0.356857
77,0.085143
79,0.138143
84,0.031143
85,0.917429
89,0.717143
91,0.982143
99,0.557286
100,0.197857
105,0.773286
108,0.172143
110,0.071714
115,0.533571
116,0.740143
117,0.417000
118,0.878714
124,0.023143
125,0.756571
126,0.652000
127,0.060286
128,0.790857
136,0.126000
137,0.136857
139,0.691714
145,0.247000
147,0.468714
153,0.733571
154,0.566714
158,0.030857
163,0.920286
165,0.554143
168,0.966000
169,0.493000
177,0.804000
179,0.945857
181,0.378571
183,0.102857
184,0.211000
185,0.966000
187,0.324000
188,0.233857
191,0.143571
194,0.063714
197,0.040286
202,0.069857
203,0.745429
205,0.116429
206,0.974571
207,0.599857
210,0.073286
211,0.946143
213,0.048286
215,0.546000
217,0.062857
218,0.129286
220,0.133000
224,0.207571
225,0.457571
229,0.140143
232,0.060286
236,0.083714
237,0.087000
238,0.982429
243,0.382429
246,0.423286
253,0.049571
259,0.076143
260,0.972143
263,0.628000
271,0.140000
273,0.061714
274,0.820286
276,0.208714
283,0.870429
287,0.141429
289,0.075429
290,0.089429
291,0.056000
292,0.982429
296,0.063714
299,0.391714
300,0.035000
303,0.064857
306,0.575286
308,0.753857
312,0.030286
318,0.963000
326,0.491429
328,0.490714
330,0.223000
331,0.185143
333,0.040429
336,0.970143
342,0.219429
347,0.917857
348,0.292857
350,0.513714
356,0.096143
359,0.367286
362,0.925571
363,0.092571
365,0.020857
368,0.035286
369,0.177286
372,0.896571
374,0.911000
376,0.979286
378,0.685857
380,0.881429
381,0.035143
383,0.841000
384,0.793429
385,0.058857
388,0.977429
389,0.090857
391,0.537571
392,0.812714
395,0.031143
397,0.979429
401,0.074857
404,0.052000
405,0.939286
408,0.045143
409,0.899143
